id,SMILES,Tg,FFV,Tc,Density,Rg,acetamida matches,acetato de etila matches,acetato de metila matches,acetona matches,acetonitrila matches,anidrido benzoico matches,anilina matches,benzamida matches,benzenotiol matches,benzoato de etila matches,benzoato de metila matches,benzofenona matches,benzonitrila matches,brometo de etila matches,butano matches,butanol-1 matches,butanol-2 matches,butanona (metiletilcetona) matches,butirato de etila matches,butirato de metila matches,catecol matches,ciclohexanona matches,ciclopentanona matches,cloreto de metila matches,cresol m- matches,cresol o- matches,cresol p- matches,decano matches,dietilsulfeto matches,dimetilamina matches,dimetilsulfeto matches,etano matches,etanol matches,etanotiol matches,etilamina matches,fenol matches,fluorenona matches,formamida matches,formiato de etila matches,formiato de metila matches,glicerol matches,heptano matches,hexano matches,hexanol-1 matches,hexanona-2 matches,hidroquinona matches,isobutanol matches,laurato de etila matches,laurato de metila matches,metano matches,metanol matches,metanotiol matches,metilamina matches,naftol-1 matches,naftol-2 matches,nitrobenzeno matches,nitrometano matches,nonano matches,octano matches,pentano matches,pentanol-1 matches,pentanona-2 matches,pirocatecol matches,propano matches,propanol-1 matches,propanol-2 matches,propanona matches,propionato de etila matches,propionato de metila matches,propionitrila matches,resorcinol matches,terc-butanol matches,tiofeno matches,trimetilamina matches,alcanos_count,alcohols_count,amidas_count,aminas_count,anidridos_acido_count,cetonas_count,esteres_count,fenois_count,haletos_count,nitrilas_count,nitrocompostos_count,sulfeto_count,tiol_count,peso_molecular,logP,n_atomospesados,n_hdoadores,n_haceptores,tpsa,n_rotatable_bonds
87817,*CC(*)c1ccccc1C(=O)OCCCCCC,0.0,0.37464529,0.2056666666666666,0.0,0.0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,9,2,0,0,0,0,0,0,0,0,2,1,0,0,4,1,0,0,0,0,0,0,0,0,0,6.0,6.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,232.3229999999999,3.9817000000000036,17,0,2,26.3,8
106919,*Nc1ccc([C@H](CCC)c2ccc(C3(c4ccc([C@@H](CCC)c5ccc(N*)cc5)cc4)CCC(CCCCC)CC3)cc2)cc1,0.0,0.3704102,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,17,0,0,0,0,0,0,0,0,0,9,10,0,0,0,0,0,0,19,0,0,0,0,0,0,0,5,7,14,0,0,0,16,0,0,0,0,0,0,0,0,0,0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,598.9190000000003,12.35959999999998,45,2,2,24.06,16
388772,*Oc1ccc(S(=O)(=O)c2ccc(Oc3ccc(C4(c5ccc(Oc6ccc(S(=O)(=O)c7ccc(Oc8ccc(C=C9CCCC(=Cc%10ccc(*)cc%10)C9=O)cc8)cc7)cc6)cc5)CCCCC4)cc3)cc2)cc1,0.0,0.37885964,0.0,0.0,0.0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,12,0,0,2,0,0,0,0,0,0,3,0,3,0,0,0,0,12,0,0,0,7,0,0,0,0,0,0,2,0,1,0,0,0,0,14,0,0,0,0,0,0,0,0,0,12,0,2,0,12,0,0,1,0,0,0,0,0,0,0,6.0,0.0,0.0,0.0,0.0,5.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,1003.2069999999997,14.216999999999969,73,0,9,122.27000000000001,15
519416,*Nc1ccc(-c2c(-c3ccc(C)cc3)c(-c3ccc(C)cc3)c(N*)c(-c3ccc(C)cc3)c2-c2ccc(C)cc2)cc1,0.0,0.3873239,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,542.7260000000002,11.00767999999999,42,2,2,24.06,7
539187,*Oc1ccc(OC(=O)c2cc(OCCCCCCCCCOCC3CCCN3c3ccc([N+](=O)[O-])cc3)c(C(*)=O)cc2OCCCCCCCCCOCC2CCCN2c2ccc([N+](=O)[O-])cc2)cc1,0.0,0.35547017,0.0,0.0,0.0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,16,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,24,6,0,6,4,0,0,0,0,0,6,8,4,0,0,0,0,0,30,7,0,4,0,0,2,0,2,4,12,6,0,0,20,6,0,0,0,0,0,2,0,0,0,9.0,6.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,965.1539999999994,11.844999999999986,70,0,14,182.28,34
950661,*OC(=O)CCCCCCCCC(=O)OC1COC2C(*)COC12,0.0,0.33909279,0.0,0.0,0.0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,10,5,5,0,2,1,0,0,0,0,0,0,0,1,0,0,0,14,10,0,0,0,0,0,2,1,2,4,6,4,0,0,0,0,0,16,7,0,0,0,0,0,0,2,3,8,5,0,0,12,9,3,0,2,1,0,0,0,0,0,10.0,9.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,312.362,2.1619,22,0,6,71.06000000000002,10
1012066,*Nc1ccc([C@H]2[C@@H]3C[C@H]4C[C@@H](C3)C[C@@H]2C4)cc1N*,0.0,0.3476159,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,36,28,0,0,0,0,0,0,10,0,0,0,0,0,0,0,6,15,36,0,0,0,18,0,0,0,0,0,0,0,0,0,0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240.34999999999997,3.9787000000000026,18,2,2,24.06,3
1022104,*C(=O)Nc1ccc(Oc2ccc(Oc3ccc(NC(=O)c4ccc5c(c4)C(=O)N(c4ccc(Oc6ccc(C7(c8ccc(Oc9ccc(N%10C(=O)c%11ccc(*)cc%11C%10=O)cc9)cc8)CC8CC7C7CCCC87)cc6)cc4)C5=O)cc3)c(C(C)(C)C)c2)cc1,0.0,0.37754464,0.0,0.0,0.0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,2,1,2,1,0,0,0,15,0,0,0,8,0,6,0,0,0,25,27,0,0,0,0,0,0,20,0,0,6,0,0,0,0,7,18,27,0,0,0,21,0,0,0,0,0,0,1,0,0,0,10.0,0.0,2.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1163.2959999999991,16.004799999999964,88,2,10,169.87999999999997,15
1722264,*CC(*)(C)C(=O)OCCCCCCCCCOc1ccc2cc(C(=O)Oc3ccccc3)ccc2c1,0.0,0.35917558,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,0,0,2,0,0,1,1,0,3,4,2,0,0,1,0,0,14,4,0,0,0,1,0,0,1,2,5,2,0,0,10,4,0,0,2,2,0,0,0,0,0,9.0,7.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,474.5970000000001,7.407200000000008,35,0,5,61.83,15
2265305,*Nc1ccc(-c2ccc(-c3ccc(N*)cc3)cc2)cc1,0.0,0.341878125,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,258.324,4.773000000000002,20,2,2,24.06,4
